seed,n_train,n_val,n_test,train_late_rate,val_late_rate,test_late_rate,n_synthetic,xgb_val_auc,xgb_val_f1,xgb_val_precision,xgb_val_recall,xgb_val_ap,xgb_test_auc,xgb_test_f1,xgb_test_precision,xgb_test_recall,xgb_test_ap,xgb_test_accuracy,xgb_opt_threshold,xgb_test_opt_f1,xgb_test_opt_precision,xgb_test_opt_recall,mlp_val_auc,mlp_val_f1,mlp_val_precision,mlp_val_recall,mlp_val_ap,mlp_test_auc,mlp_test_f1,mlp_test_precision,mlp_test_recall,mlp_test_ap,mlp_test_accuracy,mlp_opt_threshold,mlp_test_opt_f1,mlp_test_opt_precision,mlp_test_opt_recall,split_time_s
16,4494,911,952,0.2914997774810859,0.2854006586169045,0.2815126050420168,1874,0.7936399621883494,0.5846153846153846,0.5261538461538462,0.6576923076923077,0.635166101298588,0.7700368770184168,0.5464895635673624,0.555984555984556,0.5373134328358209,0.6316743155771127,0.7489495798319328,0.48999999999999977,0.5398981324278438,0.4953271028037383,0.5932835820895522,0.7630981921304503,0.5595092024539877,0.41081081081081083,0.8769230769230769,0.5853927331987958,0.7521002443920748,0.5246305418719212,0.3915441176470588,0.7947761194029851,0.6045362656715225,0.5945378151260504,0.5299999999999998,0.5356662180349933,0.4189473684210526,0.7425373134328358,24.651302337646484
17,4459,969,929,0.28212603722807805,0.3065015479876161,0.30462863293864373,1943,0.7976290684624019,0.6113416320885201,0.5187793427230047,0.7441077441077442,0.6649206818506391,0.7685375619468543,0.5569620253164557,0.504297994269341,0.6219081272084805,0.6681252397814179,0.6986006458557589,0.5099999999999998,0.5492227979274611,0.5371621621621622,0.5618374558303887,0.7831614758698091,0.580046403712297,0.4424778761061947,0.8417508417508418,0.6516992569946257,0.7502516163616274,0.5488126649076517,0.4378947368421053,0.734982332155477,0.646628675600667,0.6318622174381054,0.6099999999999998,0.5561312607944733,0.543918918918919,0.568904593639576,41.167809009552
18,4437,1137,783,0.2835249042145594,0.297273526824978,0.3090676883780332,1921,0.7509701475957373,0.4954954954954955,0.5030487804878049,0.4881656804733728,0.5831341698002132,0.8171468507966576,0.6455445544554456,0.6197718631178707,0.6735537190082644,0.6912105853214165,0.7713920817369093,0.4199999999999998,0.5916305916305916,0.45454545454545453,0.8471074380165289,0.7214084173263917,0.5292887029288703,0.40938511326860844,0.7485207100591716,0.5470264786857202,0.7834397580238615,0.5836065573770491,0.483695652173913,0.7355371900826446,0.6827183506862068,0.6756066411238825,0.3699999999999999,0.5593451568894953,0.4175152749490835,0.8471074380165289,48.21239376068115
19,4408,942,1007,0.2908348457350272,0.2526539278131635,0.3157894736842105,1844,0.7874570282658517,0.5666041275797373,0.511864406779661,0.634453781512605,0.5959736366093011,0.7687127456618379,0.5667655786350149,0.5365168539325843,0.60062893081761,0.6694532107325024,0.7100297914597815,0.5099999999999998,0.5406301824212272,0.5719298245614035,0.5125786163522013,0.7646223262032086,0.5236051502145923,0.3969631236442516,0.7689075630252101,0.544549989375306,0.7576379950890453,0.5735449735449736,0.43221690590111644,0.8522012578616353,0.6431953301456813,0.5998013902681232,0.5599999999999997,0.5848101265822785,0.4894067796610169,0.7264150943396226,35.203742027282715
20,4533,868,956,0.2956099713214207,0.26152073732718895,0.2834728033472803,1853,0.8019442363597628,0.5893536121673004,0.5183946488294314,0.6828193832599119,0.6274968829502956,0.7472136181215827,0.513911620294599,0.46176470588235297,0.5793357933579336,0.6076770034911054,0.6893305439330544,0.5099999999999998,0.5042881646655232,0.47115384615384615,0.5424354243542435,0.7620698660545541,0.5185185185185185,0.3705103969754253,0.8634361233480177,0.5652468310763173,0.7303660408866862,0.5184357541899441,0.3717948717948718,0.8560885608856088,0.5656765541646249,0.549163179916318,0.5799999999999997,0.5103011093502378,0.44722222222222224,0.5940959409594095,25.168031454086304
21,4522,899,936,0.29677134011499334,0.27808676307007785,0.26282051282051283,1838,0.7990847457627119,0.5836575875486382,0.5681818181818182,0.6,0.6570030617922119,0.7387416048073524,0.5290322580645161,0.4385026737967914,0.6666666666666666,0.552271958850747,0.688034188034188,0.4999999999999998,0.5290322580645161,0.4385026737967914,0.6666666666666666,0.7734607087827426,0.5738636363636364,0.44493392070484583,0.808,0.5997338160240548,0.7395251561211265,0.5183312262958281,0.3761467889908257,0.8333333333333334,0.5398443161131349,0.592948717948718,0.5099999999999998,0.519280205655527,0.37969924812030076,0.8211382113821138,48.06177568435669
22,4182,1311,864,0.28383548541367765,0.3173150266971777,0.27199074074074076,1808,0.7514825956166737,0.564755838641189,0.5057034220532319,0.6394230769230769,0.6356539036010221,0.7810134289483477,0.5703422053231939,0.5154639175257731,0.6382978723404256,0.6283078449467931,0.7384259259259259,0.45999999999999985,0.5587786259541985,0.4357142857142857,0.7787234042553192,0.7179778147829824,0.5346938775510204,0.4645390070921986,0.6298076923076923,0.5982860700582139,0.7288908432838345,0.5077186963979416,0.42528735632183906,0.6297872340425532,0.5633828471990878,0.6678240740740741,0.46999999999999986,0.5116279069767442,0.4024390243902439,0.7021276595744681,32.283432960510254
23,4418,928,1011,0.2804436396559529,0.28663793103448276,0.3293768545994065,1940,0.7365070531313178,0.5168986083499006,0.5485232067510548,0.48872180451127817,0.5830943853948878,0.7488107576603151,0.5367847411444142,0.4912718204488778,0.5915915915915916,0.6242081232848332,0.6636993076162215,0.48999999999999977,0.5911542610571737,0.4612794612794613,0.8228228228228228,0.7005343797560366,0.5020242914979757,0.391578947368421,0.6992481203007519,0.5582600716534555,0.7193698122901663,0.5717073170731707,0.4234104046242775,0.8798798798798799,0.5869436767475242,0.5657764589515332,0.5199999999999998,0.5474137931034483,0.426890756302521,0.7627627627627628,21.833462715148926
24,4525,928,904,0.27845303867403315,0.3448275862068966,0.2853982300884956,2005,0.7873946340460527,0.6312925170068027,0.5590361445783133,0.725,0.6811237929886331,0.8042275661794707,0.5934819897084048,0.5323076923076923,0.6705426356589147,0.6807323904179629,0.7378318584070797,0.48999999999999977,0.5811437403400309,0.4832904884318766,0.7286821705426356,0.757067228618421,0.5864978902953587,0.4426751592356688,0.86875,0.6475068612118215,0.7611209110327117,0.5366430260047281,0.38605442176870747,0.8798449612403101,0.6168285942911629,0.5663716814159292,0.5699999999999997,0.554364471669219,0.4582278481012658,0.7015503875968992,28.37835717201233
25,4458,978,921,0.28622700762673847,0.26482617586912066,0.3289902280130293,1906,0.7574414271215384,0.5116279069767442,0.4489795918367347,0.5945945945945946,0.5990745209523318,0.788832281286381,0.6033690658499234,0.5628571428571428,0.6501650165016502,0.666950753853776,0.7187839305103149,0.47999999999999976,0.6208718626155878,0.5176211453744494,0.7755775577557755,0.736716052432325,0.5027442371020856,0.3512269938650307,0.8841698841698842,0.5533916823786909,0.7772250526023475,0.5947136563876652,0.4462809917355372,0.8910891089108911,0.6446178423685509,0.6004343105320304,0.5899999999999997,0.6184971098265896,0.5501285347043702,0.7062706270627063,33.868738651275635
26,4551,930,876,0.2841133816743573,0.27741935483870966,0.3276255707762557,1965,0.7567194998154301,0.5511551155115512,0.47988505747126436,0.6472868217054264,0.5931488716367553,0.7876605360766196,0.5535353535353535,0.6586538461538461,0.47735191637630664,0.6943165884812679,0.747716894977169,0.48999999999999977,0.5637065637065637,0.6320346320346321,0.5087108013937283,0.7260116740494648,0.5096153846153846,0.3693379790940767,0.8217054263565892,0.5219964156939362,0.7973296735150228,0.6046511627906976,0.4804928131416838,0.8153310104529616,0.7020625991385688,0.6506849315068494,0.5799999999999997,0.6079136690647482,0.6282527881040892,0.5888501742160279,22.25364589691162
27,4161,1113,1083,0.27493391011776014,0.2857142857142857,0.3471837488457987,1873,0.7275681341719077,0.47208931419457734,0.47896440129449835,0.46540880503144655,0.5506076304362095,0.7706615456378465,0.5840938722294654,0.5728900255754475,0.5957446808510638,0.6557356348373967,0.7054478301015698,0.4099999999999998,0.6182152713891444,0.47257383966244726,0.8936170212765957,0.7017463707922946,0.5109034267912772,0.3813953488372093,0.7735849056603774,0.5395480508497541,0.7371046375154231,0.613614573346117,0.47976011994003,0.851063829787234,0.6117447213751076,0.6278855032317636,0.5299999999999998,0.606425702811245,0.4870967741935484,0.8031914893617021,47.832361459732056
28,4339,1076,942,0.28232311592532844,0.32620817843866173,0.2781316348195329,1889,0.7438373121131743,0.540084388185654,0.5333333333333333,0.5470085470085471,0.6548092438764197,0.7438117422541536,0.5180327868852459,0.4540229885057471,0.6030534351145038,0.5800604012734167,0.6878980891719745,0.47999999999999976,0.5224489795918368,0.4059196617336152,0.732824427480916,0.7136044798113763,0.5247629083245522,0.41638795986622074,0.7094017094017094,0.6310687764393312,0.7399781095644364,0.5128205128205128,0.36220472440944884,0.8778625954198473,0.5710776304110974,0.5360934182590233,0.47999999999999976,0.505945945945946,0.35294117647058826,0.8931297709923665,45.25633907318115
29,4471,912,974,0.2880787295906956,0.2949561403508772,0.28850102669404515,1895,0.8164331924586771,0.5811320754716981,0.5900383141762452,0.5724907063197026,0.7074993120344267,0.7756158432315017,0.5672609400324149,0.5208333333333334,0.6227758007117438,0.6206892407883436,0.7258726899383984,0.45999999999999985,0.5663716814159292,0.4392156862745098,0.797153024911032,0.7898963386079425,0.5858310626702997,0.46236559139784944,0.7992565055762082,0.6646958016972866,0.7341128622267412,0.5415162454873647,0.4090909090909091,0.800711743772242,0.5652574847762016,0.608829568788501,0.5399999999999998,0.5111111111111111,0.4191343963553531,0.6548042704626335,34.75881052017212
30,4335,1084,938,0.28742791234140713,0.30350553505535055,0.28038379530916846,1843,0.7522776223353933,0.5464333781965006,0.49033816425120774,0.6170212765957447,0.6040050883989776,0.7346204759892974,0.512280701754386,0.4755700325732899,0.5551330798479087,0.5697564370011327,0.7036247334754797,0.48999999999999977,0.5248041775456919,0.3996023856858847,0.7642585551330798,0.7025886189335534,0.5136612021857924,0.40102389078498296,0.7142857142857143,0.5500172433535636,0.720833685396423,0.5118733509234829,0.39191919191919194,0.7376425855513308,0.546324110547354,0.605543710021322,0.48999999999999977,0.5154639175257731,0.3898635477582846,0.7604562737642585,50.42641735076904
